FIPS,State,County,perc_fair_poor_health,perc_obese,perc_food_insecure,perc_uninsured,hs_grad_rate,perc_college,perc_unemp,perc_child_poverty,80_20_inc_ratio,perc_single_parent,median_inc,perc_lt_18,perc_gt_65,perc_black,perc_female,perc_rural
1000,Alabama,,22,36,16,11,89,60,3.9,24,5.3,37,49881,22.3,16.9,26.5,51.6,41
1001,Alabama,Autauga,21,33,13,9,90,62,3.6,19,5.2,26,59338,23.7,15.6,19.3,51.4,42
1003,Alabama,Baldwin,18,31,12,11,86,67,3.6,14,4.4,24,57588,21.6,20.4,8.8,51.5,42.3
1005,Alabama,Barbour,30,42,22,12,81,35,5.2,44,5.7,57,34382,20.9,19.4,48,47.2,67.8
1007,Alabama,Bibb,19,38,14,10,84,44,4,28,4.4,29,46064,20.5,16.5,21.1,46.8,68.4
1009,Alabama,Blount,22,34,11,13,93,53,3.5,18,4.4,29,50412,23.2,18.2,1.5,50.7,90
1011,Alabama,Bullock,31,37,25,11,70,35,4.7,68,7.4,75,29267,21.1,16.4,69.5,45.5,51.4
1013,Alabama,Butler,28,43,21,11,82,42,4.8,36,5.4,53,37365,22.2,20.3,44.6,53.4,71.2
1015,Alabama,Calhoun,23,39,16,12,92,59,4.7,27,5,40,45400,21.6,17.7,20.9,51.9,33.7
1017,Alabama,Chambers,24,40,18,12,86,48,3.9,31,4.7,47,39917,20.8,19.5,39.6,52.1,49.1
1019,Alabama,Cherokee,21,35,13,11,95,52,3.6,25,4.7,24,42132,19.2,23,4.2,50.5,85.7
1021,Alabama,Chilton,21,38,13,14,88,40,3.6,23,5.1,35,47547,23.8,16.8,10,50.9,86.7
1023,Alabama,Choctaw,25,41,20,11,79,58,5.5,32,5.9,48,39907,20,23,41.5,52.7,100
1025,Alabama,Clarke,25,34,23,12,91,38,7.5,32,8.5,37,40741,21.7,19.9,44.3,52.6,76
1027,Alabama,Clay,24,41,15,14,90,35,3.9,26,5.1,30,39201,20.2,20.7,13.8,51.1,100
1029,Alabama,Cleburne,19,37,14,13,98,45,4.2,23,4.8,25,46495,22.8,19.5,2.9,50.5,100
1031,Alabama,Coffee,19,34,14,12,93,64,3.9,22,4.7,36,55122,23.7,17,17.2,50.8,47.2
1033,Alabama,Colbert,21,31,15,10,92,55,4.6,21,4.8,36,49055,20.8,19.9,16,52,43.9
1035,Alabama,Conecuh,29,43,21,12,80,36,5.2,40,4.5,51,32613,20.8,22.5,45.7,52.1,80.9
1037,Alabama,Coosa,25,40,16,13,83,43,4.2,30,4.4,40,42423,16.6,23.2,30.5,49.6,100
1039,Alabama,Covington,23,32,15,12,95,54,4.6,30,4.9,36,40203,21.9,21.1,12.4,51.6,69.7
1041,Alabama,Crenshaw,22,38,16,12,89,45,4.1,31,5.5,41,39057,22.9,19,23.2,51.7,100
1043,Alabama,Cullman,22,37,12,13,91,50,3.3,20,4.4,25,45796,22.5,18.5,1.2,50.6,73.2
1045,Alabama,Dale,23,37,16,10,90,58,4.2,24,5.1,33,45309,23,16.9,20.5,50.9,50.9
1047,Alabama,Dallas,30,43,27,10,86,51,6.5,48,6.1,68,34035,23.8,18.1,70.1,53.8,45.6
1049,Alabama,DeKalb,26,29,12,17,93,46,3.8,30,4.8,34,39491,24.1,17.3,1.4,50.4,90.1
1051,Alabama,Elmore,19,34,13,9,86,55,3.4,16,4.4,31,60367,22.2,15.1,21.2,51.7,54.2
1053,Alabama,Escambia,26,39,18,14,88,38,4.6,33,5.5,46,38418,22.4,17.9,31.4,49.3,63.5
1055,Alabama,Etowah,21,36,15,12,90,55,4.1,29,4.7,37,44903,21.5,19,15.5,51.6,37.5
1057,Alabama,Fayette,22,41,14,11,92,52,4.1,37,4.9,36,39254,21.1,21.1,11.9,51.2,80.2
1059,Alabama,Franklin,25,34,13,15,92,41,3.7,30,4.4,42,39388,24.5,16.9,3.9,49.5,70.4
1061,Alabama,Geneva,23,39,15,14,90,43,3.9,30,5,41,37823,21.9,20.3,9.3,51.2,89.6
1063,Alabama,Greene,34,36,30,11,78,50,6.7,44,5.9,77,28524,22.2,22.3,79.6,52.8,100
1065,Alabama,Hale,28,40,22,11,91,47,5.1,36,6.4,59,34724,23,19.2,57.8,52.4,89.2
1067,Alabama,Henry,21,36,14,12,98,53,4.4,27,4.9,25,46027,20.6,22.7,25.8,51.8,87.8
1069,Alabama,Houston,20,38,17,11,91,59,4,22,5.1,42,47993,23,17.8,26.9,52,33.8
1071,Alabama,Jackson,23,39,14,13,90,45,4.1,27,5,31,41929,20.9,20,3.4,50.9,77
1073,Alabama,Jefferson,20,35,18,10,89,68,3.7,23,5.3,43,55013,22.8,15.9,43.1,52.7,9.8
1075,Alabama,Lamar,24,36,15,12,94,53,3.8,25,5,21,40936,21.4,21.7,10.4,51.1,100
1077,Alabama,Lauderdale,20,33,14,11,94,59,4.2,18,4.5,33,48707,19.7,20.1,9.9,52,49.3
1079,Alabama,Lawrence,22,33,13,14,88,48,4.2,31,4.9,30,43909,21.6,18.7,10.8,51.3,91.3
1081,Alabama,Lee,21,30,17,10,91,73,3.6,19,6.3,36,48937,21.3,11.9,22.8,50.8,27.4
1083,Alabama,Limestone,20,34,12,11,92,59,3.5,16,5.1,26,64863,22.6,15.2,13.5,49.9,57.6
1085,Alabama,Lowndes,30,47,26,11,91,35,7.3,40,6.5,68,33973,22.6,18.8,71.9,53.2,100
1087,Alabama,Macon,30,50,26,11,80,56,5.5,40,6.8,60,32495,16.9,20.4,80,54.5,55.5
1089,Alabama,Madison,19,33,14,9,93,73,3.5,17,5.2,30,63755,21.8,15,24.4,51.1,16.4
1091,Alabama,Marengo,26,42,22,10,91,51,5,35,7.5,44,37733,22.7,19.6,51.1,53.1,69.3
1093,Alabama,Marion,22,37,13,11,90,56,4.1,27,4.8,26,37887,20.8,21.2,3.8,50.7,88.9
1095,Alabama,Marshall,22,34,12,16,92,52,3.4,28,4.9,34,46233,24.9,17,2.4,50.6,53.3
1097,Alabama,Mobile,22,36,18,12,84,60,4.7,31,5.3,44,43598,23.4,16.2,35.7,52.4,20
1099,Alabama,Monroe,30,42,24,13,88,41,6.2,32,8.4,56,39556,21.6,20.3,41,52.5,79
1101,Alabama,Montgomery,24,38,21,11,82,62,4,31,5.5,52,49640,23.4,15.1,58.5,52.8,10.5
1103,Alabama,Morgan,21,32,13,12,90,56,3.5,20,4.6,31,52797,22.8,17.5,12.7,50.7,38.6
1105,Alabama,Perry,35,43,29,11,93,55,6.5,53,4.7,76,26814,21.2,19.4,67.5,53.2,100
1107,Alabama,Pickens,27,35,19,12,98,53,4.6,31,5.8,43,37586,19.7,19,39.8,50.1,100
1109,Alabama,Pike,25,36,21,13,87,60,4.5,31,7,46,37259,19,15,37.3,51.7,51.7
1111,Alabama,Randolph,21,37,15,13,92,50,4,31,5.1,39,40546,21.4,20.4,19.4,51.3,81.3
1113,Alabama,Russell,25,45,19,11,88,61,4,32,5.2,46,39104,24.2,14.3,44.8,52,35.4
1115,Alabama,St. Clair,19,37,12,10,88,55,3.5,15,4.2,26,57284,22.7,16.6,9.3,50.4,72.8
1117,Alabama,Shelby,16,35,9,8,94,76,2.9,9,4.2,19,75663,23.5,15.3,12.9,51.7,22.9
1119,Alabama,Sumter,34,43,28,11,77,57,5.9,48,7.6,59,27859,19,18,71.4,54.3,100
1121,Alabama,Talladega,23,39,17,10,93,52,4.3,26,5,46,41630,21.2,18,32.6,51.7,55.8
1123,Alabama,Tallapoosa,23,36,17,12,90,50,4.2,31,5.6,44,42205,20.7,21.6,26.8,51.5,74.2
1125,Alabama,Tuscaloosa,20,35,16,9,89,64,3.7,21,5,38,52557,20.9,13.3,31.8,51.9,25.5
1127,Alabama,Walker,24,40,15,12,90,53,4.2,25,5.1,32,45434,22.2,19.3,6.1,51.3,74.1
1129,Alabama,Washington,23,33,17,14,93,50,5.8,26,5,40,44424,22,19.1,23.3,50.8,100
1131,Alabama,Wilcox,29,48,29,11,83,39,9.6,51,5.8,61,25385,23.8,19.4,70.7,52.4,100
1133,Alabama,Winston,21,38,13,13,93,53,4.2,28,4.4,32,41156,20.4,21.6,0.8,50.7,84.9
2000,Alaska,,18,33,14,15,79,65,6.6,15,4.1,30,74912,24.9,11.8,3.4,47.9,34
2013,Alaska,Aleutians East,17,51,13,28,89,49,3,13,4.2,51,70081,7.9,9.2,10.4,32.5,100
2016,Alaska,Aleutians West,15,44,12,20,91,53,3.5,8,3,33,82633,11.1,6.9,6.5,34.5,100
2020,Alaska,Anchorage,15,32,12,13,81,71,5.5,12,3.8,30,82113,24.5,11.1,5.4,49.1,4.1
2050,Alaska,Bethel,24,31,22,20,62,36,12.8,41,5.7,36,44304,35.9,7.7,0.9,48.5,73.9
2060,Alaska,Bristol Bay,15,42,12,17,85,61,6.3,15,3.9,36,77257,19,14.5,0.8,46.6,100
2068,Alaska,Denali,13,25,15,14,65,72,7.8,7,3.1,15,75477,18.6,11.9,2.1,44.3,100
2070,Alaska,Dillingham,23,36,17,17,67,49,8.2,32,4.7,40,54524,31.6,9.4,0.7,49.6,100
2090,Alaska,Fairbanks North Star,12,30,13,13,74,72,5.8,9,3.7,28,74268,24.1,10.3,4.9,46.1,30.9
2100,Alaska,Haines,13,27,13,18,78,71,9.5,16,4.1,22,58943,17.1,22.1,0.6,50.6,100
2105,Alaska,Hoonah-Angoon,17,32,16,23,91,50,12.6,28,3.7,52,51188,18.5,22.5,1.9,47.3,
2110,Alaska,Juneau,11,27,10,13,83,76,4.4,9,3.4,22,79173,21.3,13.4,1.2,49.2,21.5
2122,Alaska,Kenai Peninsula,15,33,14,16,85,58,7.7,15,4.7,24,65439,22.6,17.4,0.7,47.9,79.3
